Trial	Fish_letter	Fish_ID	DI	Rep	Rear_temp	Source_tank	System	Observer	Age	CTM	Mass	FL
001	A	001A	L	1	15	L-1-15	1-15	AT	74	28.5	0.0142	17
001	B	001B	L	1	15	L-1-15	1-15	AT	74	19.5	0.0132	16
001	C	001C	L	2	15	L-2-15	2-15	AT	74	28.2	0.0065	13
001	D	001D	L	2	15	L-2-15	2-15	AT	74	29.1	0.0142	16.5
001	E	001E	L	2	15	L-2-15	2-15	AT	74	29.1	0.0118	15.5
001	F	001F	L	1	15	L-1-15	1-15	AT	74	30.3	0.0068	15
001	G	001G	L	1	15	L-1-15	1-15	AT	74	22.4	0.0146	17
001	H	001H	L	2	15	L-2-15	2-15	AT	74	17.5	0.016	16
001	I	001I	L	2	15	L-2-15	2-15	AT	74	24.4	0.0082	14
001	J	001J	L	1	15	L-1-15	1-15	AT	74	28.1	0.0113	16
001	K	001K	L	2	15	L-2-15	2-15	AT	74	28.9	0.0146	17
001	L	001L	L	1	15	L-1-15	1-15	AT	74	29.3	0.0179	14
001	M	001M	L	2	15	L-2-15	2-15	JR	74	29.9	0.0041	13
001	N	001N	L	1	15	L-1-15	1-15	JR	74	28.2	0.0159	17
001	O	001O	L	2	15	L-2-15	2-15	JR	74	29.2	0.0094	15
001	P	001P	L	2	15	L-2-15	2-15	JR	74	29.8	0.0067	14
001	Q	001Q	L	1	15	L-1-15	1-15	JR	74	29.3	0.004	12
001	R	001R	L	2	15	L-2-15	2-15	JR	74	17.8	0.0096	16
001	S	001S	L	1	15	L-1-15	1-15	JR	74	29.1	0.0055	14
001	T	001T	L	2	15	L-2-15	2-15	JR	74	29.6	0.0057	15
001	U	001U	L	1	15	L-1-15	1-15	JR	74	23.1	0.0092	15
001	V	001V	L	1	15	L-1-15	1-15	JR	74	25.7	0.0244	18
001	W	001W	L	2	15	L-2-15	2-15	JR	74	27.6	0.0103	16
001	X	001X	L	2	15	L-2-15	2-15	JR	74	24.7	0.0056	15.5
001	Y	001Y	L	2	15	L-2-15	2-15	JR	74	22.6	0.0156	16
001	Z	001Z	L	1	15	L-1-15	1-15	AT	74	28	0.0092	15
002	A	002A	L	1	18	L-1-18	1-18	MR	74	24.8	0.012	16
002	B	002B	L	2	18	L-2-18	2-18	MR	74	29.5	0.0609	25
002	C	002C	L	1	18	L-1-18	1-18	MR	74	29.5	0.016	17
002	D	002D	L	2	18	L-2-18	2-18	MR	74	24.9	0.0977	26.5
002	E	002E	L	1	18	L-1-18	1-18	MR	74	29	0.016	18
002	F	002F	L	2	18	L-2-18	2-18	MR	74	27.4	0.0466	22.5
002	G	002G	L	1	18	L-1-18	1-18	MR	74	28.7	0.006	14
002	H	002H	L	2	18	L-2-18	2-18	MR	74	26.6	0.0383	21
002	I	002I	L	1	18	L-1-18	1-18	MR	74	26.7	0.022	19
002	J	002J	L	1	18	L-1-18	1-18	MR	74	29.3	0.023	19
002	K	002K	L	2	18	L-2-18	2-18	MR	74	29.9	0.0076	15
002	L	002L	L	1	18	L-1-18	1-18	MR	74	26.6	0.017	17
002	M	002M	L	2	18	L-2-18	2-18	MR	74	25.2	0.022	19
002	N	002N	L	1	18	L-1-18	1-18	AD	74	30.7	0.005	12.5
002	O	002O	L	2	18	L-2-18	2-18	AD	74	27	0.0283	19
002	P	002P	L	1	18	L-1-18	1-18	AD	74	26.6	0.029	20
002	Q	002Q	L	2	18	L-2-18	2-18	AD	74	27.3	0.0235	18.5
002	R	002R	L	1	18	L-1-18	1-18	AD	74	25.7	0.019	17.5
002	S	002S	L	2	18	L-2-18	2-18	AD	74	26.8	0.0314	20
002	T	002T	L	1	18	L-1-18	1-18	AD	74	24.5	0.028	19.5
002	U	002U	L	2	18	L-2-18	2-18	AD	74	24.5	0.0085	15
002	V	002V	L	2	18	L-2-18	2-18	AD	74	25.7	0.0354	21.5
002	W	002W	L	1	18	L-1-18	1-18	AD	74	27.3	0.052	21
002	X	002X	L	1	18	L-1-18	1-18	AD	74	26.4	0.029	19.5
002	Y	002Y	L	2	18	L-2-18	2-18	AD	74	28.2	0.0235	18
002	Z	002Z	L	2	18	L-2-18	2-18	AD	74	28	0.0194	18
003	A	003A	M	1	15	M-1-15	1-15	AD	74	29.6	0.013	18
003	B	003B	M	1	15	M-1-15	1-15	AD	74	29.3	0.0155	18
003	C	003C	M	1	15	M-1-15	1-15	AD	74	23.8	0.0139	18
003	D	003D	M	1	15	M-1-15	1-15	AD	74	28.7	0.0196	19.5
003	E	003E	M	1	15	M-1-15	1-15	AD	74	29.2	0.0173	19
003	F	003F	M	1	15	M-1-15	1-15	AD	74	25.6	0.0076	16
003	G	003G	M	1	15	M-1-15	1-15	AD	74	29.3	0.01	16
003	H	003H	M	1	15	M-1-15	1-15	AD	74	28.4	0.0156	18
003	I	003I	M	1	15	M-1-15	1-15	AD	74	29.4	0.011	17
003	J	003J	M	1	15	M-1-15	1-15	AD	74	27.3	0.0174	19
003	K	003K	M	1	15	M-1-15	1-15	AD	74	22	0.0187	19.5
003	L	003L	M	1	15	M-1-15	1-15	AD	74	28.1	0.017	19
003	M	003M	M	1	15	M-1-15	1-15	JR	74	27.7	0.0178	19
003	N	003N	M	1	15	M-1-15	1-15	JR	74	24.8	0.0202	19.5
003	O	003O	M	1	15	M-1-15	1-15	JR	74	21.5	0.016	18.5
003	P	003P	M	1	15	M-1-15	1-15	JR	74	29.7	0.0176	19
